,text,created_date,latitude,longitude,retweet,polarity,pol_value
98,"RT @AnkitLal: Real face of @INCIndia exposed :
Its habitual offender former Okhla MLA Asif Khan falsely calls @AtishiAAP a Jewi &amp; says Musl…",2019-04-28 00:57:10,,,181,Negative,-0.07
99,"RT @narendramodi: Thank you Kannauj and Hardoi for the unparalleled warmth. 

The first three phases have made SP, BSP and Congress very ne…",2019-04-28 00:57:04,,,2910,Positive,0.23
100,"@narendramodi Honourable PM ji
Just bring fuel prices immediately under GST and everything and everyone will apprec… https://t.co/sNmIgUO3So",2019-04-28 00:57:02,,,0,Neutral,0.0
101,"RT @OpIndia_com: Villagers in Rajasthan given ‘forms’ of ‘Nyay Yojana’ to receive 72,000 rupees, BJP says people are being fooled
https://t…",2019-04-28 00:56:59,,,466,Neutral,0.0
102,"RT @bhartijainTOI: BJP. There is no limit on party expense in an election. Just like your movies must be promoted, a candidates - that too,…",2019-04-28 00:56:54,,,376,Neutral,0.0
103,"RT @AmitShah: Seven highly decorated retired officers of Indian Armed Forces joined the BJP. I welcome them into the party fold.

This trus…",2019-04-28 00:56:52,,,2197,Positive,0.48
104,"RT @zainabsikander: - @RahulGandhi ji
@ashokgehlot51 ji
@SachinPilot ji
So Muslims get beaten up and killed under BJP in Rajasthan.
And Mus…",2019-04-28 00:56:51,,,1123,Negative,-0.2
105,@iMac_too Horrible..  just to defeat BJP.. what kind of leader is she??,2019-04-28 00:56:50,,,0,Negative,-0.2
106,"RT @rishibagree: Excellent Meeting with @Sunil_Deodhar ,the man who single-handedly delivered Tripura to BJP. Sent by BJP President Amit Sh…",2019-04-28 00:56:50,,,644,Highly Positive,1.0
107,"@IndianExpress The violation of code of conduct by BJP leaders, the love of EVMs for BJP candidates and the love of… https://t.co/4WrOuj67u0",2019-04-28 00:56:49,,,0,Highly Positive,0.5
108,@boogiepest To Vote is pride and honour. Your vote is your strength and you should give it to BJP.. who really work… https://t.co/AfFaZQmCE5,2019-04-28 00:56:48,,,0,Positive,0.2
109,"@goldensurya71 @CentreRightPOV @sujayak @_Kongu_ Hindu consolidation seen mostly in Kanyakumari, - too late bcos Xt… https://t.co/0DEXm6z439",2019-04-28 00:56:27,,,0,Positive,0.1
110,"RT @India_Policy: Where @AtishiAAP Marlena appeals people to vote for even goons, if it helps to defeat BJP. All their new politics is redu…",2019-04-28 00:56:21,,,414,Positive,0.14
111,@kanhaiyakumar Entire Nation is praying BJP candidate to win from Begusarai. But you must lose your deposit too.,2019-04-28 00:56:21,,,0,Positive,0.4
112,BJP on Twitter https://t.co/U0BV0AjNqL,2019-04-28 00:56:17,,,0,Neutral,0.0
113,RT @BJP4India: Seven veteran officers join BJP in the presence of Smt. @nsitharaman at BJP HQ in New Delhi. #ModiAaneWalaHai https://t.co/h…,2019-04-28 00:56:10,,,810,Positive,0.07
114,@Sangfroid7A @ameytirodkar @arungiri @OfficialUrmila Regional loyalty?? Then BJP shouldn't hv won with 90% strike r… https://t.co/XkdT2VAkIL,2019-04-28 00:56:06,,,0,Neutral,0.0
115,"RT @bhartijainTOI: BJP. There is no limit on party expense in an election. Just like your movies must be promoted, a candidates - that too,…",2019-04-28 00:56:04,,,376,Neutral,0.0
116,"RT @rammadhavbjp: ‘We hoped Oppn would put up a credible fight at least… But see Varanasi drama, all self-goals’ | Elections News, The Indi…",2019-04-28 00:56:03,,,17,Positive,0.4
117,"@sachinsingh1010 @INCIndia @BJP4Delhi 255 bjp alone 
Cong  80
With every phase bjp seats r increasing",2019-04-28 00:56:02,,,0,Neutral,0.0
118,"RT @ProudBhagavathi: @Dr_Uditraj Translation: 
I wasn’t given a ticket by BJP becos I didn’t do the work I was elected for in my constituen…",2019-04-28 00:55:59,,,93,Neutral,0.0
119,"RT @narendramodi: Thank you Kannauj and Hardoi for the unparalleled warmth. 

The first three phases have made SP, BSP and Congress very ne…",2019-04-28 00:55:55,,,2910,Positive,0.23
120,"The BJP has got rid of all these egotistical, slobbering, senile old messes wanting to cling to past glory with dyi… https://t.co/v9wtsY3ScV",2019-04-28 00:55:54,,,0,Negative,-0.07
